Gross Domestic Product by State (millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All industry total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1000,Alabama,7343,8220,8994,9847,10053,10977,11866,12475,13624,15356,17428,19454,21346,24324,26725,30546,33712,36142,40257,41778,45679,50010,53824,56134,60752,66008,68394,71610,76043,81260,84563,90098,95819,100146,104805,109581.351257155,115322.850614096,119366.594784845,123597.606497344,128790.679482019,134649.478288188,146083.087760291,155337.396938846,163662.571006411,170459.765406403,175129.106639701,169521.36981258,175145.569720294,178132.589905456,179100
2000,Alaska,1083,1230,1374,1494,1643,1899,2073,2359,2539,2743,3041,3999,6220,7470,7544,9130,10891,15282,21824,23461,22591,23787,26142,19181,22925,21270,23453,25040,22283,22753,23284,23605,25449,26737,27581,25541.4942583542,26139.866173958,28396.3639289546,30394.2247387452,31665.4910795883,33848.5622442087,37663.4571859975,41397.2541025947,45789.6984940597,48812.2438113403,54586.6423888425,49601.3056780705,52289.5956212501,56303.9478682402,55100
4000,Arizona,4482,4817,5028,5527,5783,6593,7563,8569,9649,11292,13330,14611,15284,16970,19609,23279,27495,30764,34269,35794,39774,46135,50709,55881,60047,64945,67895,70632,73358,82682,89300,100374,109906,119530,129279,140639.104588131,152352.634652336,163375.470357584,171671.88096168,178800.977707653,190910.344305063,202973.260697046,224747.2993845,248507.589247497,261693.388866324,263683.679190164,248068.331870089,252269.046100011,260976.440043429,270100
5000,Arkansas,3791,4148,4446,4868,5132,5704,6232,6667,7440,8494,9886,10865,11942,13704,15182,17477,19099,20276,22891,23527,25292,28465,29326,30799,32664,35004,37128,38680,41572,45018,47566,51416,54612,57976,60333,62291.6937039138,66678.1208167896,68780.7473057289,71545.6659103801,74650.789279637,78552.0723199093,84352.6642087351,89078.2895632445,94403.8026091889,98105.7941009643,101023.704197391,99523.9849688032,102901.876063528,106536.430516166,110700
6000,California,67809,73513,78253,84627,89571,98721,106629,111985,120372,133143,147231,161815,178394,197347,229592,262803,293491,327958,368808,393788,426143,482166,523906,563082,615359,671575,722979,773460,790046,807358,826447,861360,911577,964186,1037091,1111799.8030988,1209419.54533303,1316824.61484099,1337289.47165639,1384429.69947632,1458140.50897249,1566666.3252962,1685560.29715756,1794589.10225698,1867162.19904617,1896649.91602289,1825166.62824777,1873800.85249082,1954973.66015381,2057900
8000,Colorado,5925,6228,6631,7275,7666,8540,9480,10431,11998,13784,16120,17852,20166,22253,25428,29398,33785,38332,43974,47654,50718,56230,59641,60970,63920,67757,71179,75571,79766,87302,95659,104507,112708,121081,133204,142413.155532815,155734.758295836,172433.118241057,181396.70965703,186958.48632786,192482.175503017,202028.104681786,217829.403873647,230766.122469864,243191.666782043,253068.35579166,244984.785986245,253683.76953754,264916.573853632,277800
9000,Connecticut,9877,10551,11456,12812,13595,14303,15627,16347,17129,18799,20808,22502,23976,26233,29598,33231,36855,40770,45642,50196,55528,63618,69231,75305,82984,90707,95831,100169,101475,105759,107680,113115,123212,129111,140280,147010.412337307,152801.840096249,167191.420759051,172004.995296949,172725.088045499,177890.52608553,191832.094498523,200794.385212731,214275.667067702,226187.883189325,224465.388603303,218415.177512851,226406.77501914,235349.631412009,241200
10000,Delaware,1885,2068,2313,2482,2605,2884,3069,3166,3623,3984,4516,4737,5025,5470,6056,6747,7304,7898,8839,9498,10611,11925,13092,14138,15568,16887,18900,19928,21746,22907,23509,25638,27721,29156,31450,33093.0831493745,34909.2685798381,37595.5938189845,40393.9264164827,40426.3252391464,43827.2759381898,46816.2987490802,50377.3922001472,52080.6445916115,55163.1611479029,53665.4098601913,55677.8395879323,59252.8182487123,60868.1309786608,68400
11000,District of Columbia,5137,5553,6037,6454,7183,7749,8096,8559,9180,9896,10400,11424,12712,13945,15581,16953,18417,19862,21740,22958,24573,26584,28534,30079,32129,35226,37469,39688,41430,43187,45356,46655,47094,47823,49702,51153.2544465911,55453.5609377179,57680.9296313263,62853.374708706,67240.7960642938,71144.1359571375,76955.0933933515,81658.306132611,85863.5782261438,90971.6770968192,95818.4313741112,97283.5450036848,102504.497221503,106510.791045073,112700
12000,Florida,14684,16025,17445,19182,21123,23793,27427,30691,34161,39709,46973,52123,55288,58729,65272,75681,86263,97899,112167,122282,136768,155993,170894,185852,204816,224848,241633,256589,267669,284673,304403,327167,346951,370912,393074,418561.772502969,448404.659901408,478942.21599204,504091.611195086,533502.569922448,571640.677305746,618451.195840581,677973.753351614,727975.966006598,757304.320863685,744546.501429262,722718.179902218,732552.02137437,750655.206920212,783800
13000,Georgia,10318,11253,12519,13808,14711,16424,18082,19365,21570,24610,28226,30378,31995,36425,40785,46154,51550,56229,63751,68451,76738,88466,98223,108089,117033,126565,133794,140646,147760,160062,171659,187996,203397,219989,235200,252271.623638955,275224.883820962,291568.49376302,302466.878642455,311391.493417224,322197.636779205,340066.703214216,360215.027790195,377426.501471742,396320.143041487,401037.354407213,388292.155490145,399941.366484772,415526.215557449,439000
15000,Hawaii,2367,2571,2849,3110,3307,3722,4262,4813,5188,5624,6353,7143,8173,8526,9441,10508,11869,13380,14640,15740,17260,19132,20722,22437,24273,26799,29427,32534,34357,36129,36732,37395,37763,38125,39064,39051.6740553759,40400.3378296653,42575.8670558229,43684.1749099419,45967.5561515606,49401.3588914307,53710.3036996135,58446.5479214325,62649.6950382583,65810.2726722937,67770.0978675291,65996.1890037075,67380.8034498173,68810.6130262155,69500
