Local Area Unemployment Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years:,1976 to 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series ID,"Annual
1976","Annual
1977","Annual
1978","Annual
1979","Annual
1980","Annual
1981","Annual
1982","Annual
1983","Annual
1984","Annual
1985","Annual
1986","Annual
1987","Annual
1988","Annual
1989","Annual
1990","Annual
1991","Annual
1992","Annual
1993","Annual
1994","Annual
1995","Annual
1996","Annual
1997","Annual
1998","Annual
1999","Annual
2000","Annual
2001","Annual
2002","Annual
2003","Annual
2004","Annual
2005","Annual
2006","Annual
2007","Annual
2008","Annual
2009","Annual
2010","Annual
2011","Annual
2012"
LASST01000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
LASST01000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175013
LASST01000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985614
LASST01000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160627
LAUST01000003,6.4,6.8,5.9,6.8,8.4,9.7,13.2,12.8,10.2,8.6,9.1,7.6,6.9,6.6,6.3,6.9,6.9,6.6,5.4,5.2,4.5,4.4,3.9,4.3,4.1,4.7,5.4,5.4,5,3.8,3.5,3.4,5,9.9,9.5,9,7.8
LAUST01000004,95174,106571,96453,113519,141870,162480,224619,221228,178807,153395,166986,141100,129202,125403,120548,131653,133696,131031,108643,108024,93841,94641,83202,92393,87398,99936,113110,114425,106628,81284,75355,74323,108403,212778,206776,196542,171200
LAUST01000005,1396193,1459192,1524618,1552130,1538910,1507852,1478260,1505701,1576853,1628066,1671375,1710970,1742480,1770129,1782700,1783434,1809337,1850610,1909881,1955846,1992652,2035156,2059310,2070210,2067147,2034909,1994748,1989784,2007153,2051893,2098462,2104157,2054849,1931814,1972387,1993977,2011638
LAUST01000006,1491367,1565763,1621071,1665649,1680780,1670332,1702879,1726929,1755660,1781461,1838361,1852070,1871682,1895532,1903248,1915087,1943033,1981641,2018524,2063870,2086493,2129797,2142512,2162603,2154545,2134845,2107858,2104209,2113781,2133177,2173817,2178480,2163252,2144592,2179163,2190519,2182838
LASST02000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
LASST02000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25909
LASST02000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338703
LASST02000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364612
LAUST02000003,7.6,9.6,10.6,9,9.4,9.1,9.8,10,9.9,9.6,11,10.2,8.7,6.9,7,8.2,8.9,7.7,7.5,7.1,7.5,7.1,6.1,6.2,6.2,6.2,7.1,7.7,7.4,6.9,6.5,6.1,6.4,7.7,8,7.6,6.0
LAUST02000004,12414,16673,19211,16449,17631,18068,21027,23232,24140,24126,28012,25501,21944,17727,19014,23000,25797,22500,22544,21568,23021,21998,19140,19488,19678,19790,23273,25787,25106,23715,22731,21366,22875,27860,29010,27712,21604
LAUST02000005,151344,156649,161581,165860,170798,181118,194142,208444,220709,226434,226417,225273,229576,238776,251026,255799,262980,271258,278198,282098,285552,289963,293939,297019,299324,301694,305112,310762,314753,320590,326109,330004,333638,332075,334939,339330,339989
LAUST02000006,163758,173322,180792,182309,188429,199186,215169,231676,244849,250560,254429,250774,251520,256503,270040,278799,288777,293758,300742,303666,308573,311961,313079,316507,319002,321484,328385,336549,339859,344305,348840,351370,356513,359935,363949,367042,361593
LASST04000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
LASST04000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243640
LASST04000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2767501
LASST04000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3011141
LAUST04000003,9.8,8.4,6.1,5.1,6.7,6.2,10,9.2,5,6.3,6.9,6.4,6.3,5.3,5.3,5.7,7.4,6.4,6.1,5.3,5.5,4.6,4.3,4.5,4,4.7,6,5.7,5,4.7,4.1,3.7,6,9.9,10.5,9.5,8.1
LAUST04000004,96279,87537,65583,59346,82480,78714,134235,127464,71669,94759,107724,104062,105626,90113,94163,104513,140227,124956,129147,118399,125901,105833,103497,110924,100390,121523,161643,155815,138687,133797,121196,111606,184528,309137,325485,287628,244126
LAUST04000005,885479,954531,1017784,1095715,1146639,1193843,1209990,1264954,1366161,1402031,1461443,1510795,1561986,1624382,1694080,1715227,1753764,1836869,1976722,2095749,2145573,2196901,2278864,2355357,2404916,2453453,2512714,2573137,2650277,2724859,2836638,2898136,2912916,2818389,2774768,2746634,2778583
LAUST04000006,981758,1042068,1083367,1155061,1229119,1272557,1344225,1392418,1437830,1496790,1569167,1614857,1667612,1714495,1788243,1819740,1893991,1961825,2105869,2214148,2271474,2302734,2382361,2466281,2505306,2574976,2674357,2728952,2788964,2858656,2957834,3009742,3097444,3127526,3100253,3034262,3022709
LASST05000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
LASST05000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253
