State,1980,1984,1988,1992,1996,2000,2004,2008,2012, 
Alabama,R,R,R,R,R,R,R,R,R, 
Alaska,R,R,R,R,R,R,R,R,R, 
Arizona,R,R,R,R,D,R,R,R,R, 
Arkansas,R,R,R,D,D,R,R,R,R, 
California,R,R,R,D,D,D,D,D,D, 
Colorado,R,R,R,D,R,R,R,D,D, 
Connecticut,R,R,R,D,D,D,D,D,D, 
Delaware,R,R,R,D,D,D,D,D,D, 
D.C.,D,D,D,D,D,D,D,D,D, 
Florida,R,R,R,R,D,R,R,D,D, 
Georgia,D,R,R,D,R,R,R,R,R, 
Hawaii,D,R,D,D,D,D,D,D,D, 
Idaho,R,R,R,R,R,R,R,R,R, 
Illinois,R,R,R,D,D,D,D,D,D, 
Indiana,R,R,R,R,R,R,R,D,R, 
Iowa,R,R,D,D,D,D,R,D,D, 
Kansas,R,R,R,R,R,R,R,R,R, 
Kentucky,R,R,R,D,D,R,R,R,R, 
Louisiana,R,R,R,D,D,R,R,R,R, 
Maine,R,R,R,D,D,D,D,D,D, 
Maryland,D,R,R,D,D,D,D,D,D, 
Massachusetts,R,R,D,D,D,D,D,D,D, 
Michigan,R,R,R,D,D,D,D,D,D, 
Minnesota,D,D,D,D,D,D,D,D,D, 
Mississippi,R,R,R,R,R,R,R,R,R, 
Missouri,R,R,R,D,D,R,R,R,R, 
Montana,R,R,R,D,R,R,R,R,R, 
Nebraska,R,R,R,R,R,R,R,R,R, 
Nevada,R,R,R,D,D,R,R,D,D, 
New Hampshire,R,R,R,D,D,R,D,D,D, 
New Jersey,R,R,R,D,D,D,D,D,D, 
New Mexico,R,R,R,D,D,D,R,D,D, 
New York,R,R,D,D,D,D,D,D,D, 
North Carolina,R,R,R,R,R,R,R,D,R, 
North Dakota,R,R,R,R,R,R,R,R,R, 
Ohio,R,R,R,D,D,R,R,D,D, 
Oklahoma,R,R,R,R,R,R,R,R,R, 
Oregon,R,R,D,D,D,D,D,D,D, 
Pennsylvania,R,R,R,D,D,D,D,D,D, 
Rhode Island,D,R,D,D,D,D,D,D,D, 
South Carolina,R,R,R,R,R,R,R,R,R, 
South Dakota,R,R,R,R,R,R,R,R,R, 
Tennessee,R,R,R,D,D,R,R,R,R, 
Texas,R,R,R,R,R,R,R,R,R, 
Utah,R,R,R,R,R,R,R,R,R, 
Vermont,R,R,R,D,D,D,D,D,D, 
Virginia,R,R,R,R,R,R,R,D,D, 
Washington,R,R,D,D,D,D,D,D,D, 
West Virginia,D,R,D,D,D,R,R,R,R, 
Wisconsin,R,R,D,D,D,D,D,D,D, 
Wyoming,R,R,R,R,R,R,R,R,R, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
