vo,1980,1984,1984,1988,1988,1992,1992,1996,1996,2000,2000,2004,2004,2008,2008
,VR Total,VR Total,VR Citizen,VR Total,VR Citizen,VR Total,VR Citizen,VR Total,VR Citizen,VR Total,VR Citizen,VR Total,VR Citizen,VR Total,VR Citizen
Alabama,56.4,60.8,62.3,56.9,57.6,63.6,64.4,55.6,56.3,59.6,60.4,61.8,63.2,60.8,62.4
Alaska,56.8,59.1,63.4,59.4,63.9,68.6,74,59.5,60.5,65.5,67.7,65,67.6,62.4,65
Arizona,53.5,54,58.1,54,57.8,64.7,69.7,47.3,54.3,46.7,52.5,54.3,63.8,53.3,59.9
Arkansas,57.2,60.4,61.2,55.8,57.2,58,60.5,51.5,51.9,49.4,50.6,56.7,58.7,51.8,53.8
California,53.8,55.7,68,51.7,64.8,52.8,70.1,48.4,61.3,46.4,57.9,49.1,61.9,51.2,63.4
Colorado,63.4,60.5,64.4,65.4,69.2,68.8,72.7,58.8,61.1,53.6,57.2,61.7,67.5,62.5,68.4
Connecticut,67.6,64.2,68.6,63.9,69.2,71.7,78.8,58.5,62.3,55.2,59.5,58.5,63.2,60.8,67.2
Delaware,60.4,59,64.9,58.7,61.4,66.1,71.1,54.7,56.1,62.2,64.8,62.8,66.4,63,67.3
District of Columbia,48.9,54,63.2,52.7,57.9,66.1,72.5,59.6,63.5,65.6,71.7,62,69.2,65.3,74.1
Florida,55.5,53.3,59.2,54.5,60.8,55.8,63.5,50.7,56.4,51.6,59.6,56.1,64.3,56.5,63.8
Georgia,53.5,52.4,55.7,49.6,51.7,54.1,57.3,49.6,50.9,49,50.9,52.6,56.8,59.6,64.2
Hawaii,55.9,54.5,61.5,54.8,60.3,55.2,61.9,43.1,47.4,39.7,44.1,46.2,50.8,46.8,51.8
Idaho,70.1,67.5,71.2,63.9,67.1,66.9,70.8,60.1,62,53.9,56.1,58.7,61.6,58.8,61.4
Illinois,66.4,66.9,73.6,60.7,65.8,65.1,72.3,55.6,59.1,56.8,62,61,65.6,57.1,62.6
Indiana,61.6,62.4,64.1,60.4,62.6,63,64.4,55.8,56.5,58.5,59.6,57.3,58.6,58.8,60.5
Iowa,67.7,68.6,70.1,63.6,64.9,70.8,72.8,61.1,63,64.1,67.4,68.8,71.3,66.9,70.2
Kansas,63.6,63.3,66.2,60.6,62.8,71.9,73.8,62,63.4,60.2,61.7,59.7,64.2,59.8,63.3
